date,time,username,name,text,photos,location,keyword
2021-01-12,19:35:30,rodhorton4,Rod Horton,took so pompeo nearly week politically calibrate capital hill attacker criminal rest u knew last wednesday,[],[],"['politically', 'criminal', 'calibrate', 'capital']"
2021-01-12,19:33:21,winnipegjets69,James,funny liberal wanting election liberal mp twitter saying could happen trying use trump capital hill vote conservative,[],[],"['liberal', 'capital', 'trump', 'happen']"
2021-01-12,19:32:43,leiausa,Sa mi,ahsankhanuk leader world much power influence people thinking amp behaviortherefore leader think speaking ampshould use every effort bring message kindness amp peace action humiliates themcapitalhill accountability capitolriot,['https://pbs.twimg.com/media/EriP3EFXUAItG5G.jpg'],[],"['leader', 'accountability', 'themcapitalhill', 'humiliates']"
2021-01-12,19:31:39,capitalshill,🏒Sponsored by helmet ads™️,honestly felt like happened last year,[],[],"['happened', 'honestly']"
2021-01-12,19:30:35,davidlmiller18,David L Miller,even one member current congress left capital hill next election cycle failure american people,[],[],"['american', 'current', 'congress', 'failure']"
2021-01-12,19:30:20,fk_ur_feelings3,Adorable_Deplorable17,kamalaharris condoning violence capitalhill blm,[],[],"['condoning', 'capitalhill', 'violence', 'kamalaharris']"
2021-01-12,19:30:18,kevinbarry68,🇨🇦Canada Rocks🇨🇦,belkage argument day ago racist asshole glad white woman killed capital hill protest way offside say anything would get suspended,[],['capital hill'],"['argument', 'offside', 'protest', 'racist']"
2021-01-12,19:30:18,hollywoodblvd1,🎬 🌟 📽,lot people call evangelicals longer believe word god worship false idol thats u amp jesus u storm capitalhill thats federalgovernment amp u christiandems,[],[],"['people', 'evangelicals', 'longer', 'worship']"
2021-01-12,19:29:38,penny66849789,Enola,capitalhill coupattempt impeachtrump impeachagain trump donaldtrump,[],[],"['coupattempt', 'trump', 'impeachtrump', 'impeachagain']"
2021-01-12,19:28:44,agthattruth,AG the Great✊🏿✊🏿✊🏿,profblacktruth funny didnt largest police union recognize trump president wonder could walk though capital hill,[],[],"['funny', 'capital', 'didnt', 'largest']"
2021-01-12,19:27:54,rijsbergenthijs,Thijs van Rijsbergen,capitolbuilding capitolriot capitalhill coronavirus coronamaatregelen corona,['https://pbs.twimg.com/media/EriOwWyWMAISuBB.jpg'],[],"['capitolriot', 'coronamaatregelen', 'capitalhill', 'coronavirus']"
2021-01-12,19:26:33,rijsbergenthijs,Thijs van Rijsbergen,capitolbuilding capitolriot capitalhill coronavirus coronamaatregelen corona,['https://pbs.twimg.com/media/EriOcweW4AA8VWm.jpg'],[],"['capitolriot', 'coronamaatregelen', 'capitalhill', 'coronavirus']"
2021-01-12,19:25:10,penny66849789,Enola,dont know need hear ppl got ta stop creating meme terrorist mob capitol whilst appreciate need humour helping cope distressing situation glorifies atrocious action capitalhill impeachtrump trump usa,[],[],"['trump', 'impeachtrump', 'capitalhill', 'action']"
2021-01-12,19:23:49,blsh1,Street Sign,msnbc morningjoe thank standing america part capital hill riot legacy donald trump senrickscott amp marcorubio,[],['america'],"['morningjoe', 'standing', 'senrickscott', 'america']"
2021-01-12,19:22:54,giordan67551736,Giordano.Bruno,mmpadellan done right thing first impeachment capital hill police officer would still alive today,[],['mmpadellan'],"['impeachment', 'alive', 'capital', 'officer']"
2021-01-12,19:21:37,imbearlythere,Bradley Dorenkamp,fun facthorny wannabe village person grandpa auschwitz hoodie model zip tie momma boy lectern thief snowboarder tooth confederate flag freak reject original smurf name smurfs arrestthemallnow capitalhill,[],[],"['facthorny', 'arrestthemallnow', 'wannabe', 'smurfs']"
2021-01-12,19:20:43,stephen93221074,Steve Nice,andrewyang love andrew idea would happen capital hill rioter different backround think either,[],[],"['rioter', 'andrew', 'capital', 'happen']"
2021-01-12,19:19:29,sunrisedr182182,182Newyork,thehill republican capital hill wanted turn usa capital kremlin russia putin mob shoot killed patriot russian putin puppet kremlin usa rep republican,[],['russia'],"['putin', 'capital', 'kremlin', 'republican']"
2021-01-12,19:18:46,wakology,Capital Hill,teleymusic u dm,[],[],['teleymusic']
